id_firma,sursa,firma,judet,localitate,persoana,email1,email2,telefon1,telefon2,cui,adresa,nume_norm,surse,nr_duplicate
13,ADRESE_2000,ALIANT BUSINESS SOLUTIONS SRL,BACAU,Bacau,Ciubotaru Ion,,,,,,"BDUL. UNIRII NR.30, BL. SC.",ALIANT BUSINESS SOLUTIONS,ADRESE_2000,1
14,ADRESE_2000,AQUILA FASHION SRL,BACAU,Onesti,Hirlau Carmen Alexandrina,,,,,,BDUL. MARASESTI NR.17B,AQUILA FASHION,ADRESE_2000,1
15,ADRESE_2000,ARELUX SRL,BACAU,Bacau,Murgu Remus Constantin,,,,,,STR. ALEXEI TOLSTOI NR.12,ARELUX,ADRESE_2000,1
16,ADRESE_2000,AROMA RISE SA,BACAU,Onesti,Hirlea Dan,,,,,,"STR. INDUSTRIILOR, NR.1",AROMA RISE,ADRESE_2000,1
17,ADRESE_2000,AVANTGARDE SRL,BACAU,Onesti,Cristea Catalin,,,,,,"STR. MIHAI BRAVU NR., BL.10 SC.B",AVANTGARDE,ADRESE_2000,1
18,ADRESE_2000,B.R.T COMPANY GROUP SRL,BACAU,Nicolae Balcescu,Moraru Bartholomeu,,,,,,"STR. ALEXANDRU IOAN CUZA, NR.50",B R T COMPANY GROUP,ADRESE_2000,1
19,ADRESE_2000,BARLETA SRL,BACAU,Bacau,Boboc Constantin,,,,,,"STR. REPUBLICII, NR.207",BARLETA,ADRESE_2000,1
20,ADRESE_2000,BARLINEK ROMANIA SA,BACAU,Onesti,Wrona Pawel,,,,,,"BDUL. MARASESTI , NR.57",BARLINEK ROMANIA,ADRESE_2000,1
21,ADRESE_2000,BARRIER SRL,BACAU,Bacau,Garmacea Adrian,,,,,,STR. POLIGONULUI NR.99,BARRIER,ADRESE_2000,1
22,ADRESE_2000,BRENNEKA INSTALL SRL,BACAU,Bacau,Ojog Mihai,,,,,,STR. BRADULUI NR.52 A,BRENNEKA INSTALL,ADRESE_2000,1
23,ADRESE_2000,BVA LOGISTIK SRL,BACAU,Bacau,Dobrea Valentin,,,,,,STR. LETEA NR.32,BVA LOGISTIK,ADRESE_2000,1
24,ADRESE_2000,CAMPURI AURII COOPERATIVA AGRICOLA,BACAU,Filipesti,Somitca Iulian,,,,,,STR. PRINCIPALA NR.25,CAMPURI AURII COOPERATIVA AGRICOLA,ADRESE_2000,1
25,ADRESE_2000,CAPITAL INVEST SRL,BACAU,Moinesti,Georgescu Sebastian,,,,,,"STR. LUNCA, NR.32",CAPITAL INVEST,ADRESE_2000,1
26,ADRESE_2000,CAT ION SRL,BACAU,Bacau,Balau Ion,,,,,,STR. VASILE PARVAN NR.60,CAT ION,ADRESE_2000,1
27,ADRESE_2000,CEREALCOM SA,BACAU,Bacau,Ciorcila Laurian Ovidiu,,,,,,"CALEA MOINESTI, NR.5",CEREALCOM,ADRESE_2000,1
28,ADRESE_2000,CHIMCOMPLEX SA,BACAU,Onesti,Tischer Gabriel,,,,,,STR. INDUSTRIILOR NR.3,CHIMCOMPLEX,ADRESE_2000,1
29,ADRESE_2000,CLUJ BUSINESS CENTRE SRL,BACAU,Bacau,Druga Andreea,,,,,,STR. ALEXEI TOLSTOI NR.8,CLUJ BUSINESS CENTRE,ADRESE_2000,1
30,ADRESE_2000,COMPANIA REGIONALA DE APA BACAU SA,BACAU,Bacau,Filip Bogdan,,,,,,STR. HENRI COANDA NR.2,COMPANIA REGIONALA DE APA BACAU,ADRESE_2000,1
31,ADRESE_2000,CONBAC SA,BACAU,Bacau,Haraba Emilian,,,,,,"STR. CHIMIEI, NR.1",CONBAC,ADRESE_2000,1
32,ADRESE_2000,CONEXTRUST SA,BACAU,Blagesti,Leana Marius,,,,,,STR. SALCIILOR NR.1,CONEXTRUST,ADRESE_2000,1
33,ADRESE_2000,COPANEX SRL,BACAU,Bacau,Panzaru Costel,,,,,,"STR. HATMAN BERESCU NR.12, BL.12 SC.B",COPANEX,ADRESE_2000,1
34,ADRESE_2000,CORIOLAN IMPEX SRL,BACAU,Bacau,Silav Ionel,,,,,,CALEA REPUBLICII NR.175,CORIOLAN IMPEX,ADRESE_2000,1
35,ADRESE_2000,CROCO SRL,BACAU,Onesti,Mereu Damian,,,,,,STR. SLANICULUI NR.12,CROCO,ADRESE_2000,1
36,ADRESE_2000,CYBERNET AUTO CENTER SRL,BACAU,Bacau,Placinta Mircea Petru,,,,,,CALEA MOLDOVEI NR.239,CYBERNET AUTO CENTER,ADRESE_2000,1
37,ADRESE_2000,DA BACCO SRL,BACAU,Casin,Fudulache Ioan,,,,,,DJ. 115 NR.111,DA BACCO,ADRESE_2000,1
38,ADRESE_2000,DAFERMANN SRL,BACAU,Bacau,Iutis Daniel,,,,,,STR. CONSTANTIN MUSAT NR.3,DAFERMANN,ADRESE_2000,1
39,ADRESE_2000,DEDEMAN SRL,BACAU,Bacau,Paval Dragos,,,,,,STR. ALEXEI TOLSTOI NR.8,DEDEMAN,ADRESE_2000,1
40,ADRESE_2000,DEMECO SRL,BACAU,Bacau,Botez Daniel,,,,,,STR. CHIMIEI NR.6A,DEMECO,ADRESE_2000,1
41,ADRESE_2000,EDU PRO GRUP SRL,BACAU,Letea Veche,Ureche Petrica Daniel,,,,,,STR. VASILE ALECSANDRI NR.96,EDU PRO GRUP,ADRESE_2000,1
42,ADRESE_2000,ELECTRIC PLUS SRL,BACAU,Bacau,Garmacea Adrian,,,,,,STR. POLIGONULUI NR.99,ELECTRIC PLUS,ADRESE_2000,1
43,ADRESE_2000,ELITE CARS FINANCE SRL,BACAU,Bacau,Corlade Patricia,,,,,,"STR. MARTIR CRISAN NR.6D, BL. SC.",ELITE CARS FINANCE,ADRESE_2000,1
44,ADRESE_2000,ELMET INTERNATIONAL SRL,BACAU,Bacau,Veres Lajos,,,,,,STR. CONSTANTEI NR.1,ELMET INTERNATIONAL,ADRESE_2000,1
45,ADRESE_2000,EURO RIN SRL,BACAU,Sascut,Oncioiu Andrei,,,,,,STR. SILOZULUI NR.4,EURO RIN,ADRESE_2000,1
46,ADRESE_2000,EUROPROD SA,BACAU,Bacau,Horoi Grigore,,,,,,"CALEA MOINESTI, NR.16",EUROPROD,ADRESE_2000,1
47,ADRESE_2000,FERMA AVICOLA SERBAN SRL,BACAU,Sascut,Oncioiu Andrei,,,,,,STR. SILOZULUI NR.4,FERMA AVICOLA SERBAN,ADRESE_2000,1
48,ADRESE_2000,FIDOLO COM SRL,BACAU,Carligi,Filimon Gheorghe Doru,,,,,,NR.,FIDOLO COM,ADRESE_2000,1
49,ADRESE_2000,G A NUTRITIE ANIMALA SRL,BACAU,Brad,Miglena Slavova Nikolova,,,,,,,G A NUTRITIE ANIMALA,ADRESE_2000,1
50,ADRESE_2000,HELIOPOLIS PRESTSERV SRL,BACAU,Targu Ocna,Hlihor Marian,,,,,,STR. ION DIACONESCU NR.16,HELIOPOLIS PRESTSERV,ADRESE_2000,1
51,ADRESE_2000,HS BACO PANELS SRL,BACAU,Comanesti,Baltatescu Gheorghe,,,,,,STR. CRINULUI NR.15,HS BACO PANELS,ADRESE_2000,1
52,ADRESE_2000,INDUSTRIES YIELD SRL,BACAU,Bacau,Bertato Sandro,,,,,,STR. TAZLAULUI NR.7-BIS,INDUSTRIES YIELD,ADRESE_2000,1
53,ADRESE_2000,INTERAGROALIMENT SRL,BACAU,Sascut,Oncioiu Andrei,,,,,,STR. SILOZULUI NR.4,INTERAGROALIMENT,ADRESE_2000,1
54,ADRESE_2000,INTERTRADE GROUP LTD SRL,BACAU,Bacau,Botezatu Petrica,,,,,,"STR. CHIMIEI NR.1, BL.C3-CORP ADM. SC.",INTERTRADE GROUP LTD,ADRESE_2000,1
55,ADRESE_2000,INTERTRANSCOM IMPEX SRL,BACAU,Buhusi,Teslaru Ioan,,,,,,STR. LIBERTATII NR.126 B,INTERTRANSCOM IMPEX,ADRESE_2000,1
56,ADRESE_2000,LEADING TECHNOLOGY SOLUTIONS SRL,BACAU,Moinesti,Ciobanu Bogdan Dumitru,,,,,,"STR. TUDOR VLADIMIRESCU NR., BL.I6 SC.",LEADING TECHNOLOGY SOLUTIONS,ADRESE_2000,1
57,ADRESE_2000,LICURICI IMPEX SRL,BACAU,Onesti,Dan Marius,,,,,,CALEA SLANICULUI NR.FN,LICURICI IMPEX,ADRESE_2000,1
58,ADRESE_2000,LUSI UNION SILUSI SRL,BACAU,Targu Trotus,Cotugno Matteo,,,,,,STR. GARII NR.4,LUSI UNION SILUSI,ADRESE_2000,1
59,ADRESE_2000,MAXIMA PROFIL NORD SRL,BACAU,Barati,Zaharia Cleras Ionut,,,,,,"STR. ALEXANDRU PIRU,NR.113E",MAXIMA PROFIL NORD,ADRESE_2000,1
60,ADRESE_2000,MOLDOVA FARMING SRL,BACAU,Bacau,Grigoriu Mihai,,,,,,"CALEA MOINESTI NR.34, BL. SC.",MOLDOVA FARMING,ADRESE_2000,1
61,ADRESE_2000,MORARU ANCA SRL,BACAU,Bacau,Moraru Danut,,,,,,STR. ARCADIE SEPTILICI NR.78,MORARU ANCA,ADRESE_2000,1
62,ADRESE_2000,MOTRIS COMPANY SRL,BACAU,Bacau,Tigler Daniel,,,,,,"STR. PRELUNGIREA BRADULUI, NR.127, BL. SC.D",MOTRIS COMPANY,ADRESE_2000,1
63,ADRESE_2000,ND PHARMA SRL,BACAU,Bacau,Popa Cezar,,,,,,CALEA MOLDOVEI NR.197,ND PHARMA,ADRESE_2000,1
64,ADRESE_2000,NICBAC PROD SRL,BACAU,Nicolae Balcescu,Farcas Iulian,,,,,,NR.,NICBAC PROD,ADRESE_2000,1
65,ADRESE_2000,NITRAMONIA BC SRL,BACAU,Bacau,Gutu Eusebiu,,,,,,CALEA MOINESTI NR.26,NITRAMONIA BC,ADRESE_2000,1
66,ADRESE_2000,OMP SRL,BACAU,Bacau,Dominte Gabriel,,,,,,"CALEA MOINESTI NR.34, BL.PAV. ADM. SC.",OMP,ADRESE_2000,1
67,ADRESE_2000,PAMBAC SA,BACAU,Bacau,Degeratu Ionel Danut,,,,,,STR. MOINESTI NR.14,PAMBAC,ADRESE_2000,1
68,ADRESE_2000,PANIMON SA,BACAU,Onesti,Mustafa Paula Mihaela,,,,,,BDUL. MARASESTI NR.9,PANIMON,ADRESE_2000,1
69,ADRESE_2000,PARTENER SRL,BACAU,Bacau,Dominte Gabriel,,,,,,"CALEA MOINESTI NR.34, BL.PAV. ADM. SC.",PARTENER,ADRESE_2000,1
70,ADRESE_2000,PESCADO GRUP SRL,BACAU,Buhusi,Dominte Gabriel,,,,,,STR. CHEBAC NR.59,PESCADO GRUP,ADRESE_2000,1
71,ADRESE_2000,POTPURIU SRL,BACAU,Onesti,Vranceanu Viorel,,,,,,STR. CIRESOAIA NR.,POTPURIU,ADRESE_2000,1
72,ADRESE_2000,REDO GROUP SRL,BACAU,Bacau,Murgu Remus Constantin,,,,,,"STR. ALEXEI TOLSTOI, NR.12",REDO GROUP,ADRESE_2000,1
73,ADRESE_2000,RHINO SAFETY SRL,BACAU,Bacau,Cicchine' Alfio,,,,,,CALEA MOLDOVEI NR.45,RHINO SAFETY,ADRESE_2000,1
74,ADRESE_2000,RHINO WORK SRL,BACAU,Bacau,Cojocaru Constantin,,,,,,CALEA MOLDOVEI NR.45,RHINO WORK,ADRESE_2000,1
75,ADRESE_2000,RIKKO STEEL SRL,BACAU,Bacau,Panici Radu,,,,,,STR. STEFAN CEL MARE NR.28,RIKKO STEEL,ADRESE_2000,1
76,ADRESE_2000,ROMCHIM PROTECT SRL,BACAU,Filipesti,Hongu Eugenia,,,,,,NR.340A,ROMCHIM PROTECT,ADRESE_2000,1
77,ADRESE_2000,ROMFOREST SERV SRL,BACAU,Comanesti,Lungu Sorin,,,,,,STR. CRINILOR NR.15,ROMFOREST SERV,ADRESE_2000,1
78,ADRESE_2000,RUSTRANS SRL,BACAU,Blagesti,Gabor Daniel,,,,,,STR. MAGNOLIILOR NR.1,RUSTRANS,ADRESE_2000,1
79,ADRESE_2000,SA & PE CONSTRUCT SRL,BACAU,Bacau,Bunghiuz Cornel,,,,,,CALEA MARASESTI NR.145,PE CONSTRUCT,ADRESE_2000,1
80,ADRESE_2000,SALBAC SA,BACAU,Bacau,Horoi Grigore,,,,,,"CALEA MOINESTI, NR.16",SALBAC,ADRESE_2000,1
81,ADRESE_2000,SALOFARM LOGISTIC SRL,BACAU,Bacau,Palade Bogdan,,,,,,STR. ALEXEI TOLSTOI NR.67,SALOFARM LOGISTIC,ADRESE_2000,1
82,ADRESE_2000,SALOFARM SRL,BACAU,Bacau,Palade Bogdan,,,,,,STR. 9 MAI NR.25,SALOFARM,ADRESE_2000,1
83,ADRESE_2000,SENAL COM SRL,BACAU,Bacau,Alexandru Adrian,,,,,,CALEA REPUBLICII NR.205,SENAL COM,ADRESE_2000,1
84,ADRESE_2000,SERBAN DISTRIBUTIE SRL,BACAU,Sascut,Circiu Florina Simina,,,,,,STR. SILOZULUI NR.4,SERBAN DISTRIBUTIE,ADRESE_2000,1
85,ADRESE_2000,SIMBA INVEST SRL,BACAU,Bacau,Gavrila Sorin,,,,,,STR. POLIGONULUI NR.4,SIMBA INVEST,ADRESE_2000,1
86,ADRESE_2000,SPEDITION UMB SRL,BACAU,Bacau,Nunu Alina,,,,,,CALEA MARASESTI NR.145,SPEDITION UMB,ADRESE_2000,1
87,ADRESE_2000,SSAB AG SA,BACAU,Bacau,Nistor Gabriel,,,,,,CALEA REPUBLICII NR.159,SSAB AG,ADRESE_2000,1
88,ADRESE_2000,STEFAN LUCIAN IMPEX SRL,BACAU,Onesti,Pascu Toderita,,,,,,CALEA MARASESTI NR.72,STEFAN LUCIAN IMPEX,ADRESE_2000,1
89,ADRESE_2000,TECNOSTAMP TRIULZI EAST EUROPE SRL,BACAU,Hemeius,Triulzi Alessandro Maria Domenico,,,,,,"STR. GARII,NR.72",TECNOSTAMP TRIULZI EAST EUROPE,ADRESE_2000,1
90,ADRESE_2000,TEHNOSTRADE SRL,BACAU,Bacau,Nunu Alina,,,,,,BDUL. UNIRII NR.77,TEHNOSTRADE,ADRESE_2000,1
91,ADRESE_2000,TELCAVI SPECIAL CONNECTORS SRL,BACAU,Margineni,Mariut Emanuela,,,,,,"STR. TINERETULUI, NR.21, BL.CORP ADM. P SC.",TELCAVI SPECIAL CONNECTORS,ADRESE_2000,1
92,ADRESE_2000,TELESYSTEM SRL,BACAU,Bacau,David Ioan Iulian,,,,,,"STR. MARASESTI , NR.110, BL. SC.C",TELESYSTEM,ADRESE_2000,1
93,ADRESE_2000,THERMOENERGY GROUP SA,BACAU,Bacau,Popa Ion,,,,,,STR. CHIMIEI NR.6,THERMOENERGY GROUP,ADRESE_2000,1
94,ADRESE_2000,TKM OIL GROUP SRL,BACAU,Letea Veche,Mocanu Ionut Ciprian,,,,,,STR. AL. I. CUZA NR.249,TKM OIL GROUP,ADRESE_2000,1
95,ADRESE_2000,TOBACCO LAND SRL,BACAU,Onesti,Dan Marius,,,,,,CALEA SLANICULUI NR.FN,TOBACCO LAND,ADRESE_2000,1
96,ADRESE_2000,TROTUSTEX SRL,BACAU,Targu Trotus,Comanici Melania,,,,,,STR. GARII NR.6,TROTUSTEX,ADRESE_2000,1
97,ADRESE_2000,UMB TRADING CO. SRL,BACAU,Podu Turcului,Nunu Alina,,,,,,STR. TUDOR VLADIMIRESCU NR.75,UMB TRADING CO,ADRESE_2000,1
98,ADRESE_2000,VIMERCATI EAST EUROPE SRL,BACAU,Hemeius,Huma Constantin,,,,,,STR. GARII NR.100,VIMERCATI EAST EUROPE,ADRESE_2000,1
99,ADRESE_2000,ABC CON INTERNATIONAL SRL,BOTOSANI,Botosani,Tarnita Mihai Catalin,,,,,,CALEA NATIONALA NR.233,ABC CON INTERNATIONAL,ADRESE_2000,1
100,ADRESE_2000,BERISTEANU IMPEX SRL,BOTOSANI,Botosani,Beristeanu Bogdan Iulian,,,,,,"STR. VICTORIEI NR., BL.D 12 SC.",BERISTEANU IMPEX,ADRESE_2000,1
101,ADRESE_2000,BIG CONF SRL,BOTOSANI,Botosani,Contac Marilena,,,,,,CALEA NATIONALA NR.1,BIG CONF,ADRESE_2000,1
102,ADRESE_2000,CARREMAN ROMANIA SRL,BOTOSANI,Botosani,Cucu Corneliu Bogdan,,,,,,"CALEA NATIONALA NR.30, BL. SC.",CARREMAN ROMANIA,ADRESE_2000,1
103,ADRESE_2000,CASTILIO SRL,BOTOSANI,Botosani,Popescu Ionut,,,,,,"BDUL. MIHAI EMINESCU, NR.170",CASTILIO,ADRESE_2000,1
104,ADRESE_2000,CEREAL BAC SRL,BOTOSANI,Avrameni,Barabas Adriana,,,,,,NR.,CEREAL BAC,ADRESE_2000,1
105,ADRESE_2000,CEREAL LANDMAR SRL,BOTOSANI,Botosani,Tugui Constantin,,,,,,STR. CASTANILOR NR.8,CEREAL LANDMAR,ADRESE_2000,1
106,ADRESE_2000,COMCEREAL SA,BOTOSANI,Botosani,Rimbu Vadim,,,,,,STR. RINDUNICII NR.8,COMCEREAL,ADRESE_2000,1
107,ADRESE_2000,CONREC SRL,BOTOSANI,Botosani,Dincu Milica,,,,,,CALEA NATIONALA NR.146,CONREC,ADRESE_2000,1
108,ADRESE_2000,CORNELL S FLOOR SRL,BOTOSANI,Roma,Tiprigan Elena Mirela,,,,,,,CORNELL S FLOOR,ADRESE_2000,1
109,ADRESE_2000,DADYCOM SRL,BOTOSANI,Rosiori,Tipu Raluca,,,,,,NR.,DADYCOM,ADRESE_2000,1
110,ADRESE_2000,DOLY COM DISTRIBUTIE SRL,BOTOSANI,Botosani,Balic Ruslan,,,,,,STR. VARNAV NR.29 E,DOLY COM DISTRIBUTIE,ADRESE_2000,1
111,ADRESE_2000,ELECTRO ALFA CM SRL,BOTOSANI,Botosani,Ciubotaru Gheorghe,,,,,,CALEA NATIONALA NR.30E,ELECTRO ALFA CM,ADRESE_2000,1
112,ADRESE_2000,ELECTRO ALFA INTERNATIONAL SRL,BOTOSANI,Botosani,Gosav Manuel,,,,,,CALEA NATIONALA NR.15,ELECTRO ALFA INTERNATIONAL,ADRESE_2000,1
113,ADRESE_2000,ELECTRO ALFA SERVICII INGINERIE SRL,BOTOSANI,Botosani,Ciubotaru Gheorghe,,,,,,"CALEA NATIONALA NR.15, BL.CORP PROD. SC.",ELECTRO ALFA SERVICII INGINERIE,ADRESE_2000,1
114,ADRESE_2000,ELSACO ELECTRONIC SRL,BOTOSANI,Botosani,,,,,,,STR. PACEA NR.41 A,ELSACO ELECTRONIC,ADRESE_2000,1
115,ADRESE_2000,ELSACO SOLUTIONS SRL,BOTOSANI,Catamaresti Deal,Popa Doru,,,,,,STR. MIHAI EMINESCU NR.85,ELSACO SOLUTIONS,ADRESE_2000,1
116,ADRESE_2000,FIVE CONTINENTS GROUP SRL,BOTOSANI,Rachiti,Boldea Chirila Tonino Iuri,,,,,,NR.,FIVE CONTINENTS GROUP,ADRESE_2000,1
117,ADRESE_2000,FORMENS SRL,BOTOSANI,Botosani,Losson Gerard Justin Joseph,,,,,,CALEA NATIONALA NR.4,FORMENS,ADRESE_2000,1
118,ADRESE_2000,GAFCO CONSTRUCT SRL,BOTOSANI,Lozna,Grosu Florin,,,,,,,GAFCO CONSTRUCT,ADRESE_2000,1
119,ADRESE_2000,GRUPUL DE DISTRIBUTIE ETA SRL,BOTOSANI,Botosani,Avasiloaie Cristinel Valeriu,,,,,,"ALEEA MAGNOLIILOR , NR.5",GRUPUL DE DISTRIBUTIE ETA,ADRESE_2000,1
120,ADRESE_2000,IRINIK SRL,BOTOSANI,Botosani,Matei Ioan,,,,,,CALEA NATIONALA NR.72,IRINIK,ADRESE_2000,1
121,ADRESE_2000,JETOIL DOWNSTREAM SRL,BOTOSANI,Leorda,Fedor Cristi Valentin,,,,,,STR. L37 NR.2,JETOIL DOWNSTREAM,ADRESE_2000,1
122,ADRESE_2000,LACTO SOLOMONESCU SRL,BOTOSANI,Miron Costin,Solomonescu Dumitru,,,,,,NR.FN,LACTO SOLOMONESCU,ADRESE_2000,1
123,ADRESE_2000,LIV AGRO GRUP SRL,BOTOSANI,Dorohoi,Rosca Costel,,,,,,STR. PROGRESULUI NR.75,LIV AGRO GRUP,ADRESE_2000,1
124,ADRESE_2000,MEAT TEAM QUALITY SRL,BOTOSANI,Botosani,Ditu Manuela,,,,,,"CALEA NATIONALA NR.7, BL. SC.C",MEAT TEAM QUALITY,ADRESE_2000,1
125,ADRESE_2000,MIRA COM SRL,BOTOSANI,Dorohoi,Mirauta Ion Mihai,,,,,,STR. SFINTUL IOAN ROMANUL NR.,MIRA COM,ADRESE_2000,1
126,ADRESE_2000,MODERN CALOR SA,BOTOSANI,Botosani,Drelciuc Simion,,,,,,"STR. PACEA NR.43, BL.10141 SC.",MODERN CALOR,ADRESE_2000,1
127,ADRESE_2000,NORDIC ROMAR SRL,BOTOSANI,Dorohoi,Rotaru Marius Giani,,,,,,"STR. PROF. DIMITRIE POMPEIU NR.66, BL.G48 SC.B",NORDIC ROMAR,ADRESE_2000,1
128,ADRESE_2000,NOVA APASERV SA,BOTOSANI,Botosani,Comarita Ioan,,,,,,"BDUL. MIHAI EMINESCU NR.34, BL. SC.",NOVA APASERV,ADRESE_2000,1
129,ADRESE_2000,OVISIM IMPEX SRL,BOTOSANI,Botosani,Hutu Ovidiu Lucian,,,,,,STR. I. C. BRATIANU NR.61,OVISIM IMPEX,ADRESE_2000,1
130,ADRESE_2000,PANDORAS COURIER SRL,BOTOSANI,Botosani,Babiuc Ionut,,,,,,"ALEEA GEN. DUMITRU VASILIU NR.2, BL. SC.D",PANDORAS COURIER,ADRESE_2000,1
131,ADRESE_2000,PROAGRO SRL,BOTOSANI,Dorohoi,Rosca Costel,,,,,,STR. PROGRESULUI NR.75,PROAGRO,ADRESE_2000,1
132,ADRESE_2000,PRODALCOM DISTRIBUTION SRL,BOTOSANI,Botosani,Sfaiter Cornel Costica,,,,,,STR. A. S. PUSKIN NR.129,PRODALCOM DISTRIBUTION,ADRESE_2000,1
133,ADRESE_2000,ROLANA TEX SRL,BOTOSANI,Botosani,Holca Agnes Mihaela,,,,,,STR. PROGRESULUI NR.1,ROLANA TEX,ADRESE_2000,1
134,ADRESE_2000,SABCO S SRL,BOTOSANI,Dorohoi,Ciubotariu Leonard,,,,,,"STR. OCTAVIAN COTESCU, NR.4",SABCO S,ADRESE_2000,1
135,ADRESE_2000,SAGROD SRL,BOTOSANI,Darabani,Timpau Dan Marius,,,,,,STR. MUNCITORULUI NR.1,SAGROD,ADRESE_2000,1
136,ADRESE_2000,SAMCOM AS SRL,BOTOSANI,Rosiori,Tipu Stefan,,,,,,NR.,SAMCOM AS,ADRESE_2000,1
137,ADRESE_2000,SANCOS SRL,BOTOSANI,Concesti,Nazare Lenuta,,,,,,NR.,SANCOS,ADRESE_2000,1
138,ADRESE_2000,SIMI IMPEX SRL,BOTOSANI,Dorohoi,Purice Petrino,,,,,,STR. GHEORGHE DOJA NR.12B,SIMI IMPEX,ADRESE_2000,1
139,ADRESE_2000,SIMION TEHNOCONSTRUCT SRL,BOTOSANI,Curtesti,Bidu Elisei,,,,,,STR. CIRESULUI NR.5,SIMION TEHNOCONSTRUCT,ADRESE_2000,1
140,ADRESE_2000,SOYBEAN AND MAYS PROD COOPERATIVA AGRICOLA,BOTOSANI,Broscauti,Zamosteanu Nicolae,,,,,,"STR. VICTORIEI,, NR.17",SOYBEAN AND MAYS PROD COOPERATIVA AGRICOLA,ADRESE_2000,1
141,ADRESE_2000,SPICUL 2 SRL,BOTOSANI,Dorohoi,Surigiu Dinu,,,,,,BDUL. VICTORIEI NR.39,SPICUL 2,ADRESE_2000,1
142,ADRESE_2000,SUPER SPLENDID SRL,BOTOSANI,Dorohoi,Tarint Vasile,,,,,,BDUL. VICTORIEI NR.87,SUPER SPLENDID,ADRESE_2000,1
143,ADRESE_2000,VESTRA INDUSTRY SRL,BOTOSANI,Catamaresti Deal,,,,,,,"STR. MIHAI EMINESCU, NR.85",VESTRA INDUSTRY,ADRESE_2000,1
144,ADRESE_2000,VICOL GENERATION BUSINESS ROMANIA SRL,BOTOSANI,Rachiti,Vicol Darian Ioan,,,,,,"STR. 29 NR.247 B, BL. SC.",VICOL GENERATION BUSINESS ROMANIA,ADRESE_2000,1
145,ADRESE_2000,VULTURI SRL,BOTOSANI,Corni,Cepoi Marcel Marin,,,,,,NR.529 A,VULTURI,ADRESE_2000,1
146,ADRESE_2000,ABILITY TRADE SRL,BRAILA,Braila,Enescu Octavian Gabriel,,,,,,"STR. 1 DECEMBRIE 1918 NR.118, BL.A SC.2",ABILITY TRADE,ADRESE_2000,1
147,ADRESE_2000,AGRICOST SA,BRAILA,Braila,Krage Nils,,,,,,"CALEA CALARASILOR, NR.327",AGRICOST,ADRESE_2000,1
148,ADRESE_2000,APAN AGRICULTURE EQUIPMENTS SRL,BRAILA,Braila,Andreev Mircea,,,,,,DN. 22B NR.KM. 4,APAN AGRICULTURE EQUIPMENTS,ADRESE_2000,1
149,ADRESE_2000,APAN AUTOMOBILE SRL,BRAILA,Braila,Andreev Mircea,,,,,,DRUM DN 22B NR.KM. 4,APAN AUTOMOBILE,ADRESE_2000,1
150,ADRESE_2000,APAN MOTORS SRL,BRAILA,Braila,Andreev Mircea,,,,,,DRUM DN 22B NR.KM. 4,APAN MOTORS,ADRESE_2000,1
151,ADRESE_2000,APAN SRL,BRAILA,Braila,Andreev Mircea,,,,,,DN. 22B NR.KM. 4,APAN,ADRESE_2000,1
152,ADRESE_2000,AVIMI SERV SRL,BRAILA,Braila,Ionescu Victoria,,,,,,STR. RADU S. CAMPINIU NR.24,AVIMI SERV,ADRESE_2000,1
